code,title,credit,description
ENG 030,English,3,Description Designed to equip students for success in the writing required during academic
ENG 035,PACER English,5,"Description This course is designed to equip students for success in the writing, reading, and"
ENG 040,Bridge to College English,1,Description Bridge to College English is for students testing in the 46-68 range on the
ENG 100,Composition I Lab,1,Description This lab is designed for students to work in an adaptive setting based on their skills
ENG 101,Composition I,3,Description This course is designed to improve the reading and writing skills of students. The
ENG 110,Introduction to Literature,3,"Description This course is an introduction to the short forms of literature, designed to develop"
ENG 120,Composition II,3,Description This course is designed to immerse students in the study and practice of persuasive
ENG 205,Introduction to Creative Writing,3,Description In this course students will combine the writing and revising of original works with the
ENG 211,Introduction to Writing for Digital Media,3,"Description In this course, students will explore the writing genres associated with digital media"
FSI 101,King Air Maintenance Practical,3,Description This course is designed to provide Maintenance Technicians hands on training with
DAS 113,Dental Materials I,4,Description Covers identification of materials used in general dentistry; physical and chemical
DAS 114,Dental Radiology I,3,Description Fundamental concepts to acquire and utilize diagnostic intraoral radiographic
DAS 116,Introduction to General Anatomy and Physiology,2,Course Information
DAS 119,Dental Anatomy,2,"Description Demonstrate a fundamental knowledge of tooth and oral anatomy, head and neck"
DAS 120,Dental Science,2,"Description Students are provided with knowledge and basic dental pharmacology, management"
DAS 122,Chairside Assisting I,4,Description Introduction to the dental health profession and dental assisting. Provides students
DAS 140,Chairside Assisting II,2,Description Continuation of DAS122 Chairside Assisting I. This course will provide a foundation
DAS 147,Dental Practice Management,3,Description This course will provide instruction in additional business office procedures with an
DAS 148,Dental Materials II,2,Description This course is a continuation of DAS113 Dental Materials I and includes identification
DAS 149,Infection Control for Dental Practice,2,Description Introductory principles of microbiology: classification and characteristics of microbes
DAS 150,Clinical Experience,7,Description This course gives students the opportunity to apply and practice the principles and
DIS 150,Directed Individual Studies,4,Description Provides the instructor and student an opportunity to develop special learning
DMK 110,Introduction to Media Arts,3,"Description Offers an introduction to media arts and the interconnectedness of audio, film,"
DMK 120,Basic Digital Editing,3,"Description Introduction to skills, principles and ethics of using audio, images and video to tell"
DMK 125,Community Building and Management,3,Description Students will be equipped with the knowledge and skills needed to create and
DMK 135,Social Media Marketing and Management,3,"Description Students will be equipped with the relevant knowledge, perspective and practical"
DMK 140,Introduction to Audio/Visual Production,3,Description This course will provide students with the skills associated with production and
DMK 150,Search Engine Optimization & Marketing,3,Description This course is designed to introduce the student to the core concepts of Search Engine Optimization (SEO)
DMK 160,Introduction to Analytics,3,Description This course is designed to introduce students to the core concepts of digital analytics. The course will
DMK 163,Introduction to Digital Advertising,3,"Description Introduction to the skills, principles, and design of digital advertising that drives"
DMK 170,Digital Marketing Capstone,4,"Description In this project-based course, students will apply the skills and knowledge acquired throughout the Digital"
DMK 175,Digital Marketing Internship,4,Description The internship represents an educational strategy linking the classroom with the acquisition
ECO 105,Principles of Macroeconomics,3,Description This course explores the fundamental aspects of the United States economy
ECO 110,Principles of Microeconomics,3,Description Attention will be given to the methods of producing the goods and services that our
EDU 120,Introduction to Teaching,3,Description This is a preparation course introducing students to the field of teaching. Topics
EDU 121,Introduction to Teaching – Field Experience,1,Description This course provides an opportunity for hands-on experiences in a PreK-12
EDU 140,Children's Literature,3,Description This course introduces students to the literary and visual styles in Children’s
EDU 160,Educational Technology,3,Description This course will introduce students to a variety of technology used in educational
EDU 180,Educating Exceptional Students,3,Description This course introduces students to the strengths and needs of learners with
EDU 200,Classroom Management,3,Description This course will introduce students to best practices in classroom management and
EDU 210,Assessing Student Learning,3,Description This course will examine approaches to assessment and evaluation of student
EDU 220,Introduction to Teaching – Field Experience,1,Description This course provides an opportunity for hands-on experiences in a PreK-12
EDU 230,Art in the Elementary Classroom,3,Description Understanding visual artistic processes as they relate to the growth and
EDU 240,Music in the Elementary Classroom,3,Description This course is designed to prepare students for teaching music to children in grades
ELT 101,Fundamentals of Electronics Technology,3,Description This course is designed to introduce the student to the electronics profession through a review
ELT 103,Introduction to Programming,3,"Description This course is an introduction to computer concepts, logic, and computer"
ELT 105,DC Electronics,2,Description This course is designed to introduce the student to the fundamental concepts of
ELT 106,DC Electronics Lab,2,Description This laboratory course is designed to introduce the student to the fundamental
ELT 108,Fundamentals of Small UAS Operations,3,Description This course is an introduction to small unmanned aircraft systems (UAS) including
ELT 110,AC Electronics,2,Description This course is designed to introduce the student to the fundamental concepts of
ELT 111,AC Electronics Lab,2,Description This laboratory course is designed to introduce the student to the fundamental
ELT 115,Digital Electronics Fundamentals,2,Description This course is designed to provide students with the concepts and terminology
ELT 120,Solid State Electronics,2,Description This course is designed to introduce the student to the fundamental concept and
ELT 121,Solid State Electronics Lab,2,Description This course is designed to introduce the student to the fundamental concept and uses of
ELT 125,Introduction to Avionics,2,Description This course is designed to give an overview of the entire avionics field. All major
ELT 127,Wiring & Cannon Plug Lab,2,Description The student will learn methods of construction and repair of avionics system wiring
ELT 129,Advanced Wiring,4,Description The Advanced Wiring course will instruct students in the fabrication and installation
ELT 130,Avionics Systems & Troubleshooting,2,Description This course introduces the student to avionics testing and troubleshooting. Students
ELT 131,Avionics Systems & Troubleshooting Lab,2,Description This course is the laboratory component of ELT 130. The student will operate the
ELT 132,Fundamentals of Flight,3,Description The Fundamentals of Flight students will learn the basic forces acting on aircraft in
ELT 134,Principles of Troubleshooting,2,Description The Principles of Troubleshooting course instructs today’s aircraft maintenance
ELT 135,"Communications, Navigation, and Surveillance Systems I",2,Description This course and its associated laboratory section is the first of two courses which
ELT 136,"Communications, Navigation, and Surveillance Systems I Lab",3,Description This course is the laboratory component of ELT 135. The student will operate CAD
ELT 137,"Communications, Navigation, and Surveillance Systems II",2,Description This course and its associated laboratory section continues the study of typical
ELT 138,"Communications, Navigation, and Surveillance Systems II Lab",3,Description This course is the laboratory component of ELT 137. The student will construct and
ELT 140,Aircraft and Electronics for NCATT Applications,2,Description This class helps student increase the knowledge and skills required to troubleshoot
ELT 145,Integrated Circuits and Systems,2,"Description This course is designed to introduce the student to the uses of commerciallyavailable integrated circuit devices including operational amplifiers, oscillators, and"
ELT 146,Integrated Circuits and Systems Lab,2,Description This course is designed to introduce the student through lab experiments to the
ELT 150,Antennas and Wave Propagation,2,Description This course introduces the student to the basic principles of transmission lines and
ELT 151,Antennas and Wave Propagation Lab,3,Description This laboratory course is a companion to the course on antennas and wave propagation and
ELT 155,Electronic Communication Circuits and Systems,2,Description This course introduces the basic principles and operation of system components of
ELT 156,Electronic Communication Circuits and Systems Lab,3,Description This course is a laboratory companion course designed to introduce the student to
ELT 160,Microprocessor and Microcontroller Systems,2,Description This course is designed to introduce the student to the fundamental concepts and
ELT 161,Microprocessor and Microcontroller Systems Lab,3,Description This course is a laboratory companion course in microprocessors and microcontrollers. The
ELT 165,Electronic Measurement and Instrumentation,2,Description This course is designed to introduce the student to the fundamental concepts of
ELT 166,Electronic Measurement and Instrumentation Lab,3,Description This course is a laboratory companion course designed to introduce the student to
EMS 103,EMT 1,6,Description The EMT 1 course provides students with the academic and professional knowledge
EMS 104,EMT 2,6,Description The EMT 2 course provides students with the academic and professional knowledge
EMS 105,Emergency Medical Technician,12,Description The EMT course provides students with the academic and professional knowledge
EMS 115,Tactical Medicine,3,Description This course will cover tactical emergency medicine—the practice of emergency
ENT 110,Introduction to Entrepreneurship,3,Description The purpose of this course is to familiarize students with the world of small business.
ENT 115,Entrepreneurship II,3,Description The marketplace has changed dramatically over the last 20 years. To compete and
FOL 101,Spanish I,5,Description This course is designed to help the student increase their knowledge of Spanish
FOL 110,Spanish II,5,Description This course is designed to help the student increase their knowledge of Spanish
FOL 120,Essential Spanish for the Workplace,4,Description This course provides immediate access to functional Spanish language skills and
GEO 101,Principles of Geography,3,Description This course is designed to provide the student with an introduction of how geography
GRA 101,Certified Nurse Aide,5,Description Prepares students to be caregivers in nursing homes while working under the
GRA 119,Medication Aide,5,Description Focuses on the knowledge and skills needed for safe medication administration in
HEM 105,Sanitation and Safety,1,"Description In this course, students will study the basic principles of bacteriology, foodborne"
HEM 110,Hospitality Math,3,"Description Reviews the fundamentals of mathematics, including calculating percent, ratios,"
HEM 115,Introduction to the Hospitality Industry,3,"Description In this course, students will gain knowledge and develop an appreciation of the"
HEM 120,Hospitality Service Techniques,3,Description Defines and describes points of service in restaurant and banquet functions.
HEM 125,Food & Beverage Management Fundamentals,3,"Description Principal analysis of directing a food and beverage operation, with the examination of"
HEM 130,Introduction to Lodging Operations,2,Description The course provides students with an overview of the lodging industry and how its
HEM 135,Hospitality Human Resource Management,3,"Description Introduces the functions of human resource management including, planning,"
HEM 140,Hospitality Financial Management,3,Description Provides an understanding of basic accounting concepts and procedures relevant to
HEM 145,Fundamentals of Excellent Customer Service,3,Description This course is designed to prepare students for the professional world of customer
HEM 150,Food and Beverage Operations,3,Description Focuses on the management of food and beverage operations in hospitality
HEM 155,Front Office Management,3,Description This course introduces students to the Lodging Operations Front Office. Topics
HEM 160,Housekeeping and Environmental Services,3,Description Examines the role of supervisory functions in the housekeeping department.
HEM 165,Revenue Management,3,Description Revenue Management is critical to the hospitality industry due to the perishable
HEM 170,Sales,3,"Description The course introduces the principles, concepts, and systems utilized in the marketing"
HEM 175,Event Catering Strategies,3,"Description This course serves as an introduction to planning catering events, responsibilities of"
HEM 180,Event Industry Fundamentals,3,Description Overview of the event management industries. This course looks at the most up to
HEM 185,Event and Meeting Contracting,3,Description An introduction to the Meeting & Events industry where by contracts are a necessary
HEM 190,Event Support Systems,3,"Description In this course, students will examine event objectives and potential sponsorship"
HEM 195,Special Events and Meetings,3,"Description In this course, students will gain hands-on experience in event planning. Students"
HEM 200,Event Project Planning,3,Description This course provides an overview of project management as identification and
HEM 205,Alcohol Beverage Law,3,"Description This course will prepare students for bartending through the emphasis on ABC Laws,"
HEM 210,Beer and Spirits,3,"Description Introduction to history and methods of production for a variety of beer, spirits, and"
HEM 215,Food and Alcohol,3,"Description In this course, students will explore the complexity of pairing food and different types"
HEM 220,Beverage Promotion,1,Description This course is designed to provide the practical knowledge needed to manage a
HEM 225,Wine Fundamentals,3,"Description Through tasting, the student will develop an appreciation of different types of wine,"
HEM 230,Mixology,4,Description Create a wide variety of classic and everyday mixed drinks in a standard bar setting.
HEM 235,Hospitality Management Internship,4,Description This is a work-based learning course which enables students to develop practical
HHA 100,Home Health Aide,2,Description Prepares the certified nurse aide (CNA) to care for clients in community and home
HIS 110,United States History to 1877,3,"Description This course traces development of the United States, 1492 to 1876, including"
HIS 120,United States History since 1865,3,Description This course is designed to provide the student with an introduction to United States
HIS 130,World History I,3,Description This course provides an introduction to the birth and development of World History to
HIS 140,Humanities Prospectus,3,"Description This course combines humanities topics including art, religion, world history and U.S."
IND 105,Industrial Automation Test Equipment,3,Description This course is designed to provide students with the necessary skills to operate the
IND 106,Direct & Alternating Current,4,Description This course introduces direct current (DC) concepts and applications and the theory
IND 109,Basic Industrial Programmable Logic Controls,4,"Description This course introduces operational theory, systems terminology, PLC installations,"
IND 111,Foundations of Manufacturing,3,Description This course is designed to teach students the non-technical side of manufacturing
IND 116,Advanced Motor Controls,3,"Description This course provides instruction in two-wire motor control circuits using relays,"
IND 117,Variable Speed Motor Control,3,"Description This course provides instruction in the fundamentals of variable speed drives,"
IND 121,Mechanical Systems Reliability,3,Description This course provides understanding of mechanical energy transmission concepts
IND 123,Industrial Fluid Power,4,Description This course provides instruction in fundamental concepts and theories for safely
IND 130,Mechanical Systems,3,Description This course provides instruction in basic physics concepts applicable to mechanics
IND 131,Industrial Programmable Logic Controls (PLC),3,"Description This course examines types, installation and troubleshooting of programmable logic"
IND 132,Industrial Process Control,3,Description This course provides understanding of different types of process control systems like
IND 139,CNC Operation for Maintenance Applications,3,Description This course will train the student in the basic manual operation of CNC Machine
IND 145,Advanced Technologies in Predictive Maintenance,3,"Description Addresses regular routine predictive, testing, checking for wear and tear and"
INF 105,A+ Certification - Essentials,3,Description This course will prepare the student for entry level work in the Information
INF 110,A+ Certification - Application,3,Description This course will prepare the student for entry level work in the Information
INF 112,Network Essentials,3,Description This course teaches the fundamentals of networking. It covers how devices
INF 113,Introduction to Programming,3,Description Programmers are in higher demand today than ever before. Get the essential skills
INF 115,Network+ Part I,3,"Description This course prepares a student for entry level installing, maintaining, troubleshooting,"
INF 116,Network+ Part II,3,Description This is a continuation of INF 115 Networking Part 1. This class prepares students to
INF 118,Cloud Fundamentals,3,Description This course covers cloud services from a business perspective. This includes the
INF 120,Security+,3,Description This course prepares students for the CompTIA Security+ Certification exam.
INF 121,Object-Oriented Programming (JavaScript),3,Description JavaScript is a scripting language of the web. As the web evolves from a static to a
INF 122,Introduction to Web Development,3,Description This course introduces students to basic web design using HTML (Hypertext Markup
INF 123,DevNet I,3,Description The DevNet I course introduces the methodologies and tools of modern software
INF 126,Test Driven Development (JavaScript),3,Description Programmers shouldn’t have to guess whether the software is working correctly.
INF 127,Linux+ Part I,3,Description This course is the first of two courses to help prepare the student for the CompTIA
INF 128,Linux+ Part II,3,Description This is the second course in a series of two courses to help prepare the student for
INF 129,Programming Foundations (Swift iOS),3,Description Programming Foundations (Swift iOS) will introduce students to the basics of
INF 131,Continuous Integration Continuous Deployment - CICD,3,"Description Continuous delivery (CD) answers two difficult questions: ""How do we release"
INF 134,Server,3,Description This course prepares students for the CompTIA Server+ Certification exam. This
INF 136,Introduction to PowerShell,3,Description Introduction to PowerShell provides an overview and application of the next
INF 137,C# Programming Language,3,Description C# is one of the most widely used general-purpose programming languages. As a
INF 138,Object-Oriented Programming (Python),3,"Description Python is an interpreted, object-oriented, high-level programming language with"
INF 141,Test Driven Development (Python),3,Description Programmers shouldn’t have to guess whether software is working correctly. They
INF 142,Introduction to Storage Solutions,3,Description This course prepares student to maintain and optimize cloud
INF 143,Web Application Development I (HTML/CSS),3,Description CSS is a stylesheet language that allows you to control the appearance of your
INF 144,Virtualization,3,Description In this course students will learn how to implement and support virtualization of
INF 146,Powershell II,3,"Description In this course, students will gain the fundamental knowledge and skills to use"
INF 147,Website Production & Management (Word Press),3,"Description This course is designed to teach students the necessary skills to build, customize,"
INF 148,Computer Support Specialist Capstone Experience,1,Description The capstone course is designed to serve as a summative evaluation of the
INF 152,Web Application Development II (REACT),3,Description React is a JavaScript library for building user interfaces to fetch rapidly changing
INF 153,Multi-Cloud Administration,3,"Description Cloud administrators must have an understanding of cloud services and architecture,"
INF 155,Digital Forensics,3,Description Digital forensics is a branch of forensic science surrounding the recovery and
INF 156,Advanced Web Development (PHP),3,Description This course is designed to provide students with advanced skills in the area of Web
INF 157,Cyber Law and Ethics,3,Description Provide students with an overview of the common laws and ethical issues associated
INF 158,Multi-Cloud Development Services,3,"Description Cloud computing impacts all careers, and an awareness of the opportunities"
INF 160,Server Security,3,"Description Server Security is designed to provide the students with concepts to develop, deploy,"
INF 161,Introduction to Networks,3,Description Begin preparing for a networking career with this introduction to how networks
INF 164,"Switching, Routing, and Wireless Essentials",3,Description Delve further into the world of networking with the second CCNA course in a 3-
INF 165,Advanced Cyber Security,3,Description Advanced Cyber Security is designed to enhance students' knowledge of security
INF 166,Cloud Application Development I (REACT on AWS),3,"Description Traditionally, companies have built and deployed web applications where they have"
INF 167,"Enterprise Networking, Security, and Automation",3,Description Large enterprises depend heavily on the smooth operation of their network
INF 168,AWS Cloud Practitioner,3,"Description To date, when it comes to market share Amazon Web Services currently holds"
INF 169,Machine Learning and AI Foundations with Predictive Analytics,3,Description There is a lot to learn to stay on top of a rapidly expanding universe of AI and
INF 170,Cloud Application Development II (Serverless REACT on AWS),3,Description Traditionally companies have built and deployed web applications where they have
INF 174,Information Technology Capstone,3,"Description In this course students, will have the opportunity to link classroom/lab theory with a"
INF 175,Information Technology Internship,3,"Description In this course, students will have the opportunity to link classroom/lab theory with an"
INF 177,AWS Solutions Architect Associate,3,"Description AWS certification is one of the most in-demand in the market, as it allows students to"
INF 180,Advanced Network Security,3,Description Advanced Network Security is designed to provide the student advanced concepts in
INF 182,Microsoft Azure Administrator,3,Description Microsoft Azure is one of the leading enterprise-grade cloud computing platforms. In
INF 185,Virtual Private Cloud Administration,3,"Description Most leading private clouds provide similar features. So, how can IT professionals"
INF 187,Cloud Native Infrastructure (Kubernetes),3,Description Container technology caught the public’s attention with the introduction of Docker in
INF 188,Cloud Data and DevOps Specialist (AWS),3,Description Amazon Web Services (AWS) is one of the most widely used cloud platforms and
INF 191,Microsoft Enterprise O365 Administration,3,Description Microsoft 365 offers enterprises a complete business solution around cloud-based
INF 193,Cloud DevOps Engineer I,3,Description DevOps is not a framework or a workflow. It's a culture that is overtaking the
INF 196,Cloud DevOps Engineer II,3,Description DevOps is not a framework or a workflow. It's a culture that is overtaking the
INT 101,Interior Design Fundamentals,3,Description This course emphasizes the fundamentals of design by exploring design elements
INT 105,Blueprint Reading for Interior Design,3,Description This is an introduction to blueprints for interior construction and service systems.
INT 110,Color Theory,3,Description This course introduces the use of color for interior design. Emphasis is on color
INT 126,Textiles,3,"Description By the end of the semester, each student will know various soft materials and"
INT 127,Materials for Interior Environments,3,Description Explorations of various hard treatments used in design are covered in this course. By
INT 141,History of Furniture & Architecture,3,Description This course provides students with the historical foundation of architecture and
INT 155,Lighting Technologies,3,Description This is an introduction to the basics of lighting technologies used in interior design:
INT 160,Design Studio I,3,Description This course provides long and short-term projects that address real life design
INT 165,Design Studio II,3,Description This course provides long and short-term projects that address real life design
INT 166,AutoCAD for Interior Design,5,Description This course introduces computer-aided drafting (CAD). AutoCAD is used to set up
INT 168,Basic Chief Architect for Interior Design,3,Description Students use the computers to learn how to utilize three dimensional software to
INT 170,Business Practices & Portfolio Development,4,"Description This course covers client contracts, presentation skills, resource development,"
INT 173,Design Studio III,3,Description This is the third course in the Design Studios series. In this course students will
INT 175,Seminars for Interior Design,2,Description This course is designed to help the student increase their knowledge concerning professional
INT 190,Drafting for Interiors,3,Description This course is designed to help the student increase their knowledge concerning
INT 192,Illustration for Interior Design,3,Description This course is designed to help the student increase their knowledge of the
INT 193,Rendering for Interior Design,3,Description This course is designed to help the student increase their knowledge of the
INT 196,Interior Design Codes & Standards,3,"Description This course is designed to focus on the most current and widely used building codes,"
INT 216,Kitchen Design,3,Description This course is designed to help the student develop skills necessary to design
INT 217,Bath Design,3,Description This course is designed to help the student develop skills necessary to design bath
INT 218,Kitchen & Bath Design,3,Description This course is designed to help the student develop special considerations
LEN 100,Lean for Operations,3,Description This course is designed to familiarize the students with the concepts and practices of
LEN 105,Lean Culture - People Systems,3,Description This course has been developed to enable the student to understand the differences
LEN 106,Value Stream Alignment,3,Course Information
LEN 109,Lean for Engineering,3,Description This course is designed to familiarize the students with the concepts and practices of
LEN 110,Lean for Services - Offices,3,Description This course will teach students the basics of both Lean and Six Sigma and how
LGM 101,Principles of Logistics and Supply Chain Management,3,Description Introduction to the field of logistics and supply chain management. Includes
LGM 102,Inventory Control,3,"Description A study of inventory control concepts and techniques. Includes, cost concepts,"
LGM 103,Contracts and Freight Claims,3,Description A study of the considerations involved in the drafting and negotiation of freight and
LGM 104,Computerized Logistics,3,Description Analysis of the use of computers in the logistics industry and an introduction to
LGM 105,Warehouse Management,3,"Description Survey of warehouse function, process, organization and operations. Includes"
LGM 106,Transportation and Traffic Management,3,Description A study of the domestic freight transportation system. Includes demand for freight
LGM 107,Introduction to Purchasing,3,Description Survey of basic purchasing functions. Includes establishing requirements and
LGM 108,International Logistics,3,Description An introduction to the role of logistics in global business. Includes the economic and
LGM 190,Logistics and Supply Chain Internship,3,"Description Culmination of logistics program. Includes guidelines and procedures for workplace learning,"
LGM 196,Independent Study in Logistics and Supply Chain Management,3,Description Independent study projects or applied special interest projects in logistics and supply
MCD 101,Introduction to CAD I,3,Description This course introduces computer-aided drafting (CAD) and examines the hardware
MCD 102,Introduction to CAD II,2,Description This course is a continuation of Introduction to CAD I. All the skills taught in
MCD 104,Blueprint Reading for Drafting,2,"Description This course introduces the basic principles of print reading. Topics include line types,"
MCD 105,Technical Drafting I,1,"Description Includes instruction in sketching and lettering, use and care of drafting equipment,"
MCD 106,Precision Measuring,2,Description This course is designed to assist multiple technical training disciplines with the
MCD 110,Principles of Tool Design,2,Description Provides an understanding of the general methods of tool design with emphasis on
MCD 112,Industrial Materials & Processes,2,"Description Includes instruction in materials, measurement, specifications, design principles,"
MCD 114,Architectural Drafting & Design,3,"Description Includes instruction in freehand drawing, basic residential planning, creative design,"
MCD 115,Machine Drafting & Design,3,"Description Includes instruction in creative design, geometric construction, auxiliaries,"
MCD 121,Descriptive Geometry,3,"Description Students use computers to study descriptive geometry as it applies to drafting, and"
MCD 122,Architectural CAD,4,"Description Students use computers to study descriptive geometry as it applies to drafting, and"
MCD 124,Advanced AutoCAD,4,Description This course explores the three-dimensional construction and viewing capabilities of
MCD 130,Basic Solidworks,3,Description Students Learn how to use the SOLIDWORKS mechanical design automation software to
MCD 132,Basic Chief Architect/Architectural Desktop,3,Description Students use the computers to learn how to utilize three dimensional software to
MCD 133,Advanced Solidworks,3,Description Students Learn how to use the SOLIDWORKS mechanical design automation software to
MCD 134,Advanced Chief Architect/Architectural Desktop,3,Description Students use the computers to learn how to utilize three dimensional software to
MCD 137,Introduction to 3D Printing,2,Description This course seeks to provide the student with a basic understanding of the industrial
MCD 140,Drafting Technology Internship,4,Description Introduces students to the application and reinforcement of drafting and
MCD 201,Geometric Dimensioning & Tolerance,3,Description The Geometric dimensioning and tolerance course is an in-depth study designed to
MCD 205,Residential Drafting,3,Description Introduces architectural drawing skills necessary to produce a complete set of
MCD 206,Commercial Drafting & Design,3,Description Introduces commercial drawing skills necessary to produce construction drawings
MCD 210,Advanced Measuring,3,Description This course is designed to assist multiple advanced technical training disciplines with
MDU 010,Medication Aide Update,1,Description Provides the continuing education required every two years by the Kansas
MEA 101,Medical Professional Issues,2,Description Reviews the role and function of the Medical Assistant. This course focuses on the
MEA 113,Medical Administrative Aspects,4,Description Provides an introduction to the administrative skills needed for a medical office.
MEA 115,Insurance Billing & Coding,3,Description Explores the medical insurance system and related billing and coding. Students
MEA 116,Pharmacology Medication Administration,2,"Description Course focus is on medication dosage calculation, preparation and administration by"
MEA 121,Patient Care II,4,Description Focuses on expanding the knowledge and skills in Patient Care I. More complex and
MEA 125,Clinical Laboratory Procedures,4,Description This course addresses the role and function of the professional in the clinical
MEA 131,Medical Assistant Practicum,6,"Description Provides the opportunity to apply clinical, laboratory, and administrative skills in a"
MFG 100,Lean Manufacturing,3,Description This course is designed to familiarize the students with the concepts and practices of
MFG 125,Manufacturing Internship,1,Description The internship represents an educational strategy linking the classroom with the
MMG 113,Print Reading,3,"Description Student will learn to identify basic lines, views, and abbreviations used in blueprints,"
MMG 115,Machining I,3,"Description Students will learn to conduct job hazard analysis for conventional mills and lathes,"
MMG 116,Quality Control & Inspection,1,Description Students are introduced to the science of dimensional metrology and its applications
MMG 126,Machining II,3,"Description Students learn to perform basic trigonometric functions, and perform other"
MMG 130,Bench Work,1,Description In this course students will learn the importance of tool management and tool
MMG 131,Metallurgy,1,Description Students learn the metallurgical terms and definitions in an effort to understand the
MMG 132,Machine Tool Processes,1,Description This course provides students with the opportunity to demonstrate process and
MMG 135,Machining Fundamentals,3,Description This course will provide students with a solid foundation in all aspects of
MMG 140,Metrology,4,"Description Students will learn the proper operation, field verification, and measuring techniques"
MMG 154,Multi-Cell Operations,4,Description In this course students will learn robotic/automation principles needed to function in
MMG 155,CNC Lathe,3,Description Introduces students to two axis computer numerical control lathes machining. The
MMG 156,CNC Operations,3,Description Students will become acquainted with the history of Numerical Control (NC) and
MMG 158,CNC Controllers,2,Description This course introduces the basic operation of CNC controllers commonly found on
MMG 160,CNC Milling I,3,Description Students will gain practical experience in setting up and performing basic operations
MMG 164,Advanced Machining Processes,3,Description In this course students will apply knowledge and skills learned throughout the
MMG 170,Mastercam Mill 2 Axis,4,Description An introductory level course for Mastercam Software. This course will cover 3D
MMG 173,G D & T for Machining,3,Description The Geometric dimensioning and tolerance course is an in-depth study designed to
MMG 175,Mastercam Mill 3D Surface,4,Description This course introduces the methods used to create toolpaths for a CNC machining
MMG 180,Mastercam 4 & 5 Axis Mill,4,Description This course introduces the methods used to create 4 and 5 Axis toolpaths for a CNC
MMG 184,Multi-Axis Milling,4,Description This course will build on the concepts learned in the CNC Milling course and teach
MMG 225,Internship/Directed Work Study,4,Description This internship course offers students opportunities to be employed in their field with
MGT 106,Introduction To Human Resources,3,Description Comprehensive view of human resources within an organization. Students examine
MGT 111,Buiness Ethics,3,Description Provides students with an overview of business ethics and ethical management
MNF 110,CNC Basics,2,Description Students will acquire knowledge of Computer Numerical Control (CNC) machines
MNF 113,Blueprint Basics For Manufacturing,2,Description This course is an introduction to reading and interpreting blueprints. Topics include
MNF 115,Forklift Operations,1,Description This course is designed to train entry level workers in the correct use of a forklift to
MNF 120,Manufacturing Processes & Production I,3,Description This course provides the introduction in a three part series of instruction which is
MNF 125,Maintenance Training,4,Description In this course the student will learn how to monitor production equipment for both
MNF 130,Manufacturing Processes & Production II,3,Description In this course students continue their study of current manufacturing processes &
MNF 135,Electrical Concepts,3,Description In this course students will be introduced to basic electrical theory as it relates to the
MNF 140,Basic PLC's,3,"Description This course introduces operational theory, systems terminology, PLC installations, and"
MNF 145,Fluid,2,Description In this course students will learn the concepts relating to hydraulic systems. Students
MNF 150,Automation in Manufacturing,3,Description This course in “Automation in Manufacturing” is designed with the primary focus on
MNF 155,Digital Electronics,3,Description This course is designed to provide students with the concepts and terminology
MNF 160,Manufacturing Processes & Production III,3,Description In this course students further enhance their understanding of manufacturing
MNF 163,Production Assembly,3,Description This course presents a systematic approach to production assembly operations in
MNF 165,Automated Supply Chain,3,Description Students will acquire knowledge of supply chain automation to leverage digital
MNF 170,Drones and Data Analysis,3,Description This course will provide an introduction into the world of Unmanned Aerial Vehicles
MNF 175,Manufacturing Technology Applied Learning Experience,3,Description The applied learning experience represents an educational strategy linking the classroom
MTH 020,Math Fundamentals,3,Description This online course provides students a thorough study in the arithmetic of real
MTH 025,PACER Mathematics I,3,Description This traditional/hybrid course provides the opportunity for students to master the
MTH 035,PACER Mathematics II,3,Description This traditional/hybrid course provides the opportunity for students to master the
MTH 050,Beginning Algebra with Review,4,Description This course provides students with a solid foundation of beginning algebraic
MTH 095,Mathematical Reasoning,3,Description A mathematics course focused on the skills and knowledge required for numerical
MTH 101,Intermediate Algebra,3,Description This course will provide students with the algebraic skills necessary to begin
MTH 102,Intermediate Algebra with Review,5,Description This online course provides students with the same algebraic skills discussed in
MTH 105,PACER Mathematics III,3,Description This traditional/hybrid courses provides the opportunity for students to master the
MTH 111,College Algebra with Review,5,Description This course is an introduction of algebraic functions and some transcendental
MTH 112,College Algebra,3,Description This course will enable the student to use and interpret the mathematical symbols
MTH 113,Trigonometry,3,Description This course will enable the student to identify and manipulate trigonometric
MTH 115,Pre-Calculus Mathematics,5,"Description This course will enable the student to develop and apply models using linear,"
MTH 120,Elementary Statistics,3,Description This course will enable the student to collect data by appropriate sampling
MTH 121,Elementary Statistics Lab with Excel,1,"Description Using Excel to construct Frequency Tables & Histograms, compute and explore"
MTH 125,Calculus I,5,"Description This course will enable the students to solve problems involving limits, derivatives"
MTH 150,Calculus II,5,Description This course will enable the student to understand applications and methods of
MUS 110,Music Appreciation,3,Description This course is designed for non-music majors. A background in music is not
NDT 100,Penetrant Inspection,3,Description In this course students will master the competencies associated with Liquid
NDT 101,Magnetic Particle Testing,3,Description In this course students will master the competencies associated with the Magnetic
NDT 102,Radiation Safety,3,Description In this course students will master the competencies associated with Radiation
NDT 103,Radiographic Testing Level II,3,Description In this course students will master the competencies associated with Radiographic
NDT 107,Radiographic Testing Level I,3,Description In this course students will master the competencies associated with Radiographic
NDT 110,Eddy Current Level I,3,Description In this course students will master the competencies associated with electromagnetic
NDT 111,Eddy Current Level II,3,Description In this course students will master the competencies associated with electromagnetic
